开始记录20240103104830
RX:ID 78c  Data:
02 76 2b 00 00 00 00 00 time：48:30:398
RX:ID 78c  Data:
07 62 fd ff ff ff ff ff time：48:30:398

握手成功第 44 次,  传输了： 89956个数 
TX : ID - 71C, DATA - 18, 2e, 36, 2c, d0, 7, 0, 0time：48:30:398
TX : ID - 71C, DATA - 2f, 0, 0, 6, 2, 0, 0, a4time：48:30:428
TX : ID - 71C, DATA - 20, 2, 0, 0, a5, 2, 0, 0time：48:30:428
TX : ID - 71C, DATA - 21, a6, 2, 0, 0, a7, 2, 0time：48:30:428
TX : ID - 71C, DATA - 22, 0, a8, 2, 0, 0, a9, 2time：48:30:429
TX : ID - 71C, DATA - 23, 0, 0, aa, 2, 0, 0, c6time：48:30:429
TX : ID - 71C, DATA - 24, 2, 0, 0, f4, 2, 0, 0time：48:30:429
TX : ID - 71C, DATA - 25, f5, 2, 0, 0, f6, 2, 0time：48:30:429
TX : ID - 71C, DATA - 26, 0, fa, 2, 0, 0, ac, 4time：48:30:430
TX : ID - 71C, DATA - 27, 0, 0, 1d, 6, 0, 0, 1etime：48:30:430
TX : ID - 71C, DATA - 28, 6, 0, 0, 1f, 6, 0, 0time：48:30:430
TX : ID - 71C, DATA - 29, ac, 6, 0, 0, 0, 0, 0time：48:30:430
TX : ID - 71C, DATA - 2a, 0, 40, 1, 0, 0, 0, 0time：48:30:431
TX : ID - 71C, DATA - 2b, 0, 0, 7d, 1, 0, 0, 0time：48:30:431
TX : ID - 71C, DATA - 2c, 0, 0, 0, 11, 2, 0, 0time：48:30:431
TX : ID - 71C, DATA - 2d, 0, 0, 0, 0, 27, 2, 0time：48:30:431
TX : ID - 71C, DATA - 2e, 0, 0, 0, 0, 0, 75, 2time：48:30:432
TX : ID - 71C, DATA - 2f, 0, 0, 0, 0, 0, 0, 95time：48:30:432
TX : ID - 71C, DATA - 20, 2, 0, 0, 0, 0, 0, 0time：48:30:432
TX : ID - 71C, DATA - 21, 80, 0, 0, 0, 0, 0, 0time：48:30:432
TX : ID - 71C, DATA - 22, 0, e1, 2, 0, 0, 0, 0time：48:30:433
TX : ID - 71C, DATA - 23, 0, 0, 3, 1, 0, 0, 0time：48:30:433
TX : ID - 71C, DATA - 24, 0, 0, 0, bd, 1, 0, 0time：48:30:433
TX : ID - 71C, DATA - 25, 0, 0, 0, 0, 23, 3, 0time：48:30:433
TX : ID - 71C, DATA - 26, 0, 0, 0, 0, 0, 42, 3time：48:30:434
TX : ID - 71C, DATA - 27, 0, 0, 0, 0, 0, 0, 88time：48:30:434
TX : ID - 71C, DATA - 28, 3, 0, 0, 0, 0, 0, 0time：48:30:434
TX : ID - 71C, DATA - 29, d4, 3, 0, 0, 0, 0, 0time：48:30:434
TX : ID - 71C, DATA - 2a, 0, 1c, 7, 0, 0, 0, 0time：48:30:435
TX : ID - 71C, DATA - 2b, 0, 0, df, 7, 0, 0, fctime：48:30:435
TX : ID - 71C, DATA - 2c, 7, 0, 0, fc, 7, 0, 0time：48:30:435
TX : ID - 71C, DATA - 2d, fc, 7, 0, 0, e0, 7, 0time：48:30:435
TX : ID - 71C, DATA - 2e, 0, c0, 7, 0, 0, c0, 7time：48:30:436
TX : ID - 71C, DATA - 2f, 0, 0, c0, 7, 0, 0, fctime：48:30:436
TX : ID - 71C, DATA - 20, 7, 0, 0, 0, 40, 2, 40time：48:30:436
TX : ID - 71C, DATA - 21, 0, 50, 2, 40, 0, b0, 2time：48:30:436
TX : ID - 71C, DATA - 22, 40, dc, e3, 2, 0, 14, 0time：48:30:437
TX : ID - 71C, DATA - 23, 9c, ff, 32, 0, 0, 0, 14time：48:30:437
TX : ID - 71C, DATA - 24, 0, 18, 0, 1d, 0, 23, 0time：48:30:437
TX : ID - 71C, DATA - 25, 2a, 0, 31, 0, 39, 0, 43time：48:30:437
TX : ID - 71C, DATA - 26, 0, 4d, 0, 59, 0, 66, 0time：48:30:438
TX : ID - 71C, DATA - 27, 74, 0, 84, 0, 95, 0, a8time：48:30:438
TX : ID - 71C, DATA - 28, 0, bd, 0, d4, 0, ec, 0time：48:30:438
TX : ID - 71C, DATA - 29, 7, 1, 25, 1, 0, a0, 6time：48:30:438
TX : ID - 71C, DATA - 2a, 40, 0, b0, 6, 40, 0, c0time：48:30:439
TX : ID - 71C, DATA - 2b, 6, 40, 4a, 4b, 4c, 0, 0time：48:30:439
TX : ID - 71C, DATA - 2c, a0, 6, 40, 0, b0, 6, 40time：48:30:439
TX : ID - 71C, DATA - 2d, 0, c0, 6, 40, 1f, 21, 23time：48:30:440
TX : ID - 71C, DATA - 2e, 0, 4a, 4b, 4c, 0, 0, 1time：48:30:440
TX : ID - 71C, DATA - 2f, 2, 3, 4, 5, 6, 7, 8time：48:30:440
TX : ID - 71C, DATA - 20, 9, 9, 9, 9, a, a, atime：48:30:440
TX : ID - 71C, DATA - 21, a, b, b, b, b, c, ctime：48:30:440
TX : ID - 71C, DATA - 22, c, c, d, d, d, d, dtime：48:30:441
TX : ID - 71C, DATA - 23, d, d, d, e, e, e, etime：48:30:441
TX : ID - 71C, DATA - 24, e, e, e, e, e, e, etime：48:30:441
TX : ID - 71C, DATA - 25, e, e, e, e, e, f, ftime：48:30:441
TX : ID - 71C, DATA - 26, f, f, f, f, f, f, ftime：48:30:442
TX : ID - 71C, DATA - 27, f, f, f, f, f, f, ftime：48:30:442
TX : ID - 71C, DATA - 28, 0, 0, 0, 0, 40, 2, 40time：48:30:442
TX : ID - 71C, DATA - 29, 0, 50, 2, 40, 0, b0, 2time：48:30:442
TX : ID - 71C, DATA - 2a, 40, 4e, 55, 5c, 0, 4f, 56time：48:30:443
TX : ID - 71C, DATA - 2b, 5d, 0, 51, 58, 5f, 52, 80time：48:30:443
TX : ID - 71C, DATA - 2c, 80, 0, 0, 50, 80, 80, 0time：48:30:443
TX : ID - 71C, DATA - 2d, 0, 1, 2, 3, 4, 5, 6time：48:30:443
TX : ID - 71C, DATA - 2e, 7, 8, 9, a, b, c, dtime：48:30:444
TX : ID - 71C, DATA - 2f, e, f, 0, 0, 0, 0, 0time：48:30:444
TX : ID - 71C, DATA - 20, 0, 0, 0, 0, 0, 0, 0time：48:30:444
TX : ID - 71C, DATA - 21, 0, 0, 0, 0, 0, 0, 0time：48:30:444
TX : ID - 71C, DATA - 22, 0, 0, 0, 0, 0, 0, 0time：48:30:444
TX : ID - 71C, DATA - 23, 0, 0, 0, 0, 0, 0, 0time：48:30:445
TX : ID - 71C, DATA - 24, 0, 0, 0, 0, 0, 0, 0time：48:30:445
TX : ID - 71C, DATA - 25, 0, 0, 0, 0, 0, 0, 0time：48:30:445
TX : ID - 71C, DATA - 26, 0, 0, 0, 0, 0, 0, 0time：48:30:446
TX : ID - 71C, DATA - 27, 0, 0, 0, 0, 0, 0, 0time：48:30:446
TX : ID - 71C, DATA - 28, 0, 0, 0, 0, 0, 0, 0time：48:30:446
TX : ID - 71C, DATA - 29, 0, 0, 0, 0, 0, 0, 0time：48:30:446
TX : ID - 71C, DATA - 2a, 0, 0, 0, 0, 0, 0, 0time：48:30:446
TX : ID - 71C, DATA - 2b, 73, 0, 32, 0, 21, 0, 61time：48:30:447
TX : ID - 71C, DATA - 2c, 0, 49, 0, 4a, 0, 4b, 0time：48:30:447
TX : ID - 71C, DATA - 2d, 4c, 0, 4d, 0, 3d, 0, 0time：48:30:447
TX : ID - 71C, DATA - 2e, 0, 24, 0, 25, 0, 2b, 0time：48:30:449
TX : ID - 71C, DATA - 2f, 36, 0, 31, 0, 0, 0, 20time：48:30:450
TX : ID - 71C, DATA - 20, 0, 0, 0, 38, 0, 39, 0time：48:30:450
TX : ID - 71C, DATA - 21, 3a, 0, 26, 0, 0, 0, 3btime：48:30:450
TX : ID - 71C, DATA - 22, 0, 27, 0, 5a, 0, 66, 0time：48:30:450
TX : ID - 71C, DATA - 23, 37, 0, 2c, 0, 2d, 0, 2etime：48:30:451
TX : ID - 71C, DATA - 24, 0, 40, 0, 6a, 0, 6b, 0time：48:30:451
TX : ID - 71C, DATA - 25, 6c, 0, 0, 0, 0, 0, 0time：48:30:451
TX : ID - 71C, DATA - 26, 0, 0, 0, 0, 0, 0, 0time：48:30:451
TX : ID - 71C, DATA - 27, 0, 0, 0, 0, 0, 0, 0time：48:30:452
TX : ID - 71C, DATA - 28, fc, ac, 6, 0, 7e, 56, 3time：48:30:452
TX : ID - 71C, DATA - 29, 0, 3f, ab, 1, 0, fc, actime：48:30:452
TX : ID - 71C, DATA - 2a, 6, 0, 7e, 56, 3, 0, 3ftime：48:30:452
TX : ID - 71C, DATA - 2b, ab, 1, 0, fc, ac, 6, 0time：48:30:453
TX : ID - 71C, DATA - 2c, 7e, 56, 3, 0, 3f, ab, 1time：48:30:453
TX : ID - 71C, DATA - 2d, 0, 0, 0, 0, 0, 0, 0time：48:30:453
TX : ID - 71C, DATA - 2e, 0, 0, 0, 0, 0, 0, 0time：48:30:453
TX : ID - 71C, DATA - 2f, 0, 0, 0, 0, 0, 0, 0time：48:30:454
TX : ID - 71C, DATA - 20, 0, 0, 0, 0, fc, ac, 6time：48:30:454
TX : ID - 71C, DATA - 21, 0, 7e, 56, 3, 0, 3f, abtime：48:30:454
TX : ID - 71C, DATA - 22, 1, 0, 0, 0, 0, 0, 0time：48:30:454
