开始记录20240103104809
TX : ID - 71C, DATA - 20, f0, f6, 20, 75, 7e, ae, 92time：48:25:315
TX : ID - 71C, DATA - 21, f4, 17, b5, 85, 3c, ca, 30time：48:25:315
TX : ID - 71C, DATA - 22, 40, cb, 7, 4c, 74, 72, 12time：48:25:316
TX : ID - 71C, DATA - 23, c6, cb, ce, c7, 74, d2, 6ftime：48:25:316
TX : ID - 71C, DATA - 24, df, 6b, 75, 7d, 59, 45, b2time：48:25:316
TX : ID - 71C, DATA - 25, 0, 1a, 3b, bb, f0, 1b, 11time：48:25:316
TX : ID - 71C, DATA - 26, 2b, 68, fd, 8e, c4, d9, abtime：48:25:316
TX : ID - 71C, DATA - 27, 48, e2, ce, 5a, 48, ba, c1time：48:25:317
TX : ID - 71C, DATA - 28, ce, aa, 7e, e4, 4, 5b, 57time：48:25:317
TX : ID - 71C, DATA - 29, 6c, 57, d4, cf, 6b, 57, 9dtime：48:25:317
TX : ID - 71C, DATA - 2a, 4e, 73, c7, 16, 14, 0, 0time：48:25:317
TX : ID - 71C, DATA - 2b, 3, 4e, 30, 82, 3, 4a, 30time：48:25:318
TX : ID - 71C, DATA - 2c, 82, 2, 32, a0, 3, 2, 1time：48:25:318
TX : ID - 71C, DATA - 2d, 2, 2, 8, 35, eb, f3, 72time：48:25:318
TX : ID - 71C, DATA - 2e, 9f, c5, 5b, 80, 30, d, 6time：48:25:319
TX : ID - 71C, DATA - 2f, 9, 2a, 86, 48, 86, f7, dtime：48:25:319
TX : ID - 71C, DATA - 20, 1, 1, b, 5, 0, 30, 2ftime：48:25:319
TX : ID - 71C, DATA - 21, 31, b, 30, 9, 6, 3, 55time：48:25:319
TX : ID - 71C, DATA - 22, 4, 6, 13, 2, 43, 4e, 31time：48:25:319
TX : ID - 71C, DATA - 23, c, 30, a, 6, 3, 55, 4time：48:25:319
TX : ID - 71C, DATA - 24, a, c, 3, 4a, 49, 54, 31time：48:25:319
TX : ID - 71C, DATA - 25, 12, 30, 10, 6, 3, 55, 4time：48:25:320
TX : ID - 71C, DATA - 26, 3, c, 9, 49, 4f, 54, 53time：48:25:320
TX : ID - 71C, DATA - 27, 55, 42, 43, 41, 32, 30, 1etime：48:25:320
TX : ID - 71C, DATA - 28, 17, d, 32, 32, 31, 31, 32time：48:25:320
TX : ID - 71C, DATA - 29, 31, 30, 39, 32, 37, 33, 32time：48:25:321
TX : ID - 71C, DATA - 2a, 5a, 17, d, 32, 37, 31, 31time：48:25:321
TX : ID - 71C, DATA - 2b, 32, 30, 30, 39, 32, 37, 33time：48:25:321
TX : ID - 71C, DATA - 2c, 32, 5a, 30, 1e, 31, b, 30time：48:25:321
TX : ID - 71C, DATA - 2d, 9, 6, 3, 55, 4, 6, 13time：48:25:321
TX : ID - 71C, DATA - 2e, 2, 43, 4e, 31, f, 30, dtime：48:25:322
TX : ID - 71C, DATA - 2f, 6, 3, 55, 4, 3, c, 6time：48:25:322
TX : ID - 71C, DATA - 20, 31, 35, 32, 4f, 54, 41, 30time：48:25:322
TX : ID - 71C, DATA - 21, 82, 1, 22, 30, d, 6, 9time：48:25:322
TX : ID - 71C, DATA - 22, 2a, 86, 48, 86, f7, d, 1time：48:25:323
TX : ID - 71C, DATA - 23, 1, 1, 5, 0, 3, 82, 1time：48:25:323
TX : ID - 71C, DATA - 24, f, 0, 30, 82, 1, a, 2time：48:25:323
TX : ID - 71C, DATA - 25, 82, 1, 1, 0, a8, 3f, 20time：48:25:323
TX : ID - 71C, DATA - 26, e7, b2, e, a4, 10, 12, 60time：48:25:324
TX : ID - 71C, DATA - 27, 30, f1, d6, ed, 3f, 29, 4ftime：48:25:324
TX : ID - 71C, DATA - 28, cb, a3, b1, ea, 67, 8c, 6etime：48:25:324
TX : ID - 71C, DATA - 29, 4d, e6, 6f, 57, 65, dc, 9ftime：48:25:324
TX : ID - 71C, DATA - 2a, f0, 2f, 1, ce, ab, 28, 76time：48:25:324
TX : ID - 71C, DATA - 2b, 65, 78, ac, 83, 37, 4e, b4time：48:25:325
TX : ID - 71C, DATA - 2c, ce, 46, 73, 79, e9, 7e, 2ftime：48:25:325
TX : ID - 71C, DATA - 2d, f0, f5, f5, c3, c6, 58, fbtime：48:25:325
