开始记录20240103112735
TX : ID - 71C, DATA - 2b, 2, 0, 99, 84, 1, 0, 2btime：27:38:784
TX : ID - 71C, DATA - 2c, 93, 2, 0, 99, 84, 1, 0time：27:38:784
TX : ID - 71C, DATA - 2d, 99, 84, 1, 0, 99, 84, 1time：27:38:784
TX : ID - 71C, DATA - 2e, 0, 35, 93, 2, 0, 3f, 93time：27:38:785
TX : ID - 71C, DATA - 2f, 2, 0, 99, 84, 1, 0, 49time：27:38:785
TX : ID - 71C, DATA - 20, 93, 2, 0, 99, 84, 1, 0time：27:38:785
TX : ID - 71C, DATA - 21, 99, 84, 1, 0, 99, 84, 1time：27:38:785
TX : ID - 71C, DATA - 22, 0, 99, 84, 1, 0, 99, 84time：27:38:785
TX : ID - 71C, DATA - 23, 1, 0, 99, 84, 1, 0, 99time：27:38:786
TX : ID - 71C, DATA - 24, 84, 1, 0, 99, 84, 1, 0time：27:38:786
TX : ID - 71C, DATA - 25, 99, 84, 1, 0, 99, 84, 1time：27:38:786
TX : ID - 71C, DATA - 26, 0, 99, 84, 1, 0, 99, 84time：27:38:787
TX : ID - 71C, DATA - 27, 1, 0, 99, 84, 1, 0, 99time：27:38:787
TX : ID - 71C, DATA - 28, 84, 1, 0, 99, 84, 1, 0time：27:38:787
TX : ID - 71C, DATA - 29, 99, 84, 1, 0, 99, 84, 1time：27:38:787
TX : ID - 71C, DATA - 2a, 0, 99, 84, 1, 0, 99, 84time：27:38:788
TX : ID - 71C, DATA - 2b, 1, 0, 99, 84, 1, 0, 99time：27:38:788
TX : ID - 71C, DATA - 2c, 84, 1, 0, 99, 84, 1, 0time：27:38:788
TX : ID - 71C, DATA - 2d, 99, 84, 1, 0, 99, 84, 1time：27:38:788
TX : ID - 71C, DATA - 2e, 0, 99, 84, 1, 0, 99, 84time：27:38:789
TX : ID - 71C, DATA - 2f, 1, 0, 99, 84, 1, 0, 99time：27:38:789
TX : ID - 71C, DATA - 20, 84, 1, 0, 99, 84, 1, 0time：27:38:789
TX : ID - 71C, DATA - 21, 99, 84, 1, 0, 99, 84, 1time：27:38:789
TX : ID - 71C, DATA - 22, 0, 99, 84, 1, 0, 99, 84time：27:38:790
TX : ID - 71C, DATA - 23, 1, 0, 99, 84, 1, 0, 99time：27:38:790
TX : ID - 71C, DATA - 24, 84, 1, 0, 99, 84, 1, 0time：27:38:790
TX : ID - 71C, DATA - 25, 99, 84, 1, 0, 99, 84, 1time：27:38:790
TX : ID - 71C, DATA - 26, 0, 99, 84, 1, 0, 99, 84time：27:38:791
TX : ID - 71C, DATA - 27, 1, 0, 99, 84, 1, 0, 99time：27:38:791
TX : ID - 71C, DATA - 28, 84, 1, 0, 99, 84, 1, 0time：27:38:791
TX : ID - 71C, DATA - 29, 99, 84, 1, 0, 99, 84, 1time：27:38:791
TX : ID - 71C, DATA - 2a, 0, 99, 84, 1, 0, 99, 84time：27:38:791
TX : ID - 71C, DATA - 2b, 1, 0, 99, 84, 1, 0, 99time：27:38:792
TX : ID - 71C, DATA - 2c, 84, 1, 0, 99, 84, 1, 0time：27:38:792
TX : ID - 71C, DATA - 2d, 99, 84, 1, 0, 99, 84, 1time：27:38:792
TX : ID - 71C, DATA - 2e, 0, 99, 84, 1, 0, 99, 84time：27:38:792
TX : ID - 71C, DATA - 2f, 1, 0, 99, 84, 1, 0, 99time：27:38:793
TX : ID - 71C, DATA - 20, 84, 1, 0, 99, 84, 1, 0time：27:38:793
TX : ID - 71C, DATA - 21, 99, 84, 1, 0, 99, 84, 1time：27:38:793
TX : ID - 71C, DATA - 22, 0, 99, 84, 1, 0, 99, 84time：27:38:793
TX : ID - 71C, DATA - 23, 1, 0, 99, 84, 1, 0, 99time：27:38:794
TX : ID - 71C, DATA - 24, 84, 1, 0, 99, 84, 1, 0time：27:38:794
TX : ID - 71C, DATA - 25, 99, 84, 1, 0, 99, 84, 1time：27:38:794
TX : ID - 71C, DATA - 26, 0, 99, 84, 1, 0, 99, 84time：27:38:794
TX : ID - 71C, DATA - 27, 1, 0, 99, 84, 1, 0, 99time：27:38:795
TX : ID - 71C, DATA - 28, 84, 1, 0, 99, 84, 1, 0time：27:38:795
TX : ID - 71C, DATA - 29, 99, 84, 1, 0, 99, 84, 1time：27:38:795
TX : ID - 71C, DATA - 2a, 0, 99, 84, 1, 0, 99, 84time：27:38:795
TX : ID - 71C, DATA - 2b, 1, 0, 99, 84, 1, 0, 99time：27:38:795
TX : ID - 71C, DATA - 2c, 84, 1, 0, 99, 84, 1, 0time：27:38:796
TX : ID - 71C, DATA - 2d, 99, 84, 1, 0, 99, 84, 1time：27:38:796
TX : ID - 71C, DATA - 2e, 0, 99, 84, 1, 0, 99, 84time：27:38:796
TX : ID - 71C, DATA - 2f, 1, 0, 99, 84, 1, 0, 99time：27:38:796
TX : ID - 71C, DATA - 20, 84, 1, 0, 99, 84, 1, 0time：27:38:797
